collapsT,breakupT,R0,rr0,theta
750000,-1,80,40,20
1825000,-1,120,40,20
1125000,-1,120,80,20
-1,375000,150,20,20
-1,375000,150,20,30
-1,325000,150,20,40
-1,-1,150,40,20
1075000,-1,150,40,30
600000,-1,150,40,40
1875000,-1,150,80,20
550000,-1,150,80,30
225000,-1,150,80,40
-1,375000,180,20,20
-1,350000,180,20,30
-1,325000,180,20,40
-1,375000,180,22,40
-1,425000,180,25,40
-1,1025000,180,30,40
-1,2025000,180,40,20
1575000,-1,180,40,30
925000,-1,180,40,40
-1,-1,180,80,20
850000,-1,180,80,30
375000,-1,180,80,40
-1,350000,200,20,20
-1,350000,200,20,30
-1,325000,200,20,40
-1,1900000,200,40,20
2000000,-1,200,40,30
1175000,-1,200,40,40
-1,-1,200,80,20
1075000,-1,200,80,30
500000,-1,200,80,40
