collapsT,breakupT,R0,rr0,theta,psi0,Rstart,Rdrop,tauM
750000,-1,80,40,20,0.325,93.0,43.002623792983385,835829.1428000943
1825000,-1,120,40,20,0.21666666666666667,133.0,49.225001727210426,835829.1428000943
1125000,-1,120,80,20,0.45,147.0,78.14171504903454,1.684268707991614e6
-1,775000,150,20,10,0.04,153.0,21.20815072523871,1.5045876652002179e6
-1,375000,150,20,20,0.08,156.0,33.39777052189438,411446.1081938679
-1,375000,150,20,30,0.12,159.0,42.94900628143353,181135.21636456958
-1,325000,150,20,40,0.16,162.0,50.6463012002936,98905.61372799514
-1,-1,150,40,10,0.08,156.0,33.75624984035262,3.2356007202963037e6
-1,-1,150,40,20,0.17333333333333334,163.0,53.026439464493784,835829.1428000943
1075000,-1,150,40,30,0.25333333333333335,169.0,68.1807342594083,365012.22003908525
600000,-1,150,40,40,0.3333333333333333,175.0,80.39774491998526,198613.3477816878
-1,-1,150,80,10,0.17333333333333334,163.0,53.61743355993562,6.682711387845048e6
1875000,-1,150,80,20,0.36,177.0,84.17587916170767,1.684268707991614e6
550000,-1,150,80,30,0.52,189.0,108.23180432488336,732662.691696522
225000,-1,150,80,40,0.68,201.0,127.62354110407209,397984.3184233972
-1,700000,180,20,10,0.03333333333333333,183.0,22.524934075041312,1.5045876652002179e6
-1,375000,180,20,20,0.06666666666666667,186.0,35.49064020887272,411446.1081938679
-1,350000,180,20,30,0.1,189.0,45.64030735977222,181135.21636456958
-1,325000,180,20,40,0.13333333333333333,192.0,53.820182453011924,98905.61372799514
-1,375000,180,22,40,0.15555555555555556,194.0,57.35094468213122,108836.01113589134
-1,425000,180,25,40,0.17777777777777778,196.0,62.45248284029237,123767.57409591238
-1,1025000,180,30,40,0.2111111111111111,199.0,70.52522438024721,148756.51643027636
-1,-1,180,40,10,0.06666666666666667,186.0,35.86783818512349,3.2356007202963037e6
-1,2025000,180,40,20,0.14444444444444443,193.0,56.347537442073865,835829.1428000943
1575000,-1,180,40,30,0.2111111111111111,199.0,72.45281991078475,365012.22003908525
925000,-1,180,40,40,0.2777777777777778,205.0,85.4351539406148,198613.3477816878
-1,-1,180,80,10,0.14444444444444443,193.0,56.974527244965124,6.682711387845048e6
-1,-1,180,80,20,0.3,207.0,89.45017112572214,1.684268707991614e6
850000,-1,180,80,30,0.43333333333333335,219.0,115.01320540549173,732662.691696522
375000,-1,180,80,40,0.5666666666666667,231.0,135.62021539647057,397984.3184233972
-1,575000,200,20,10,0.03,203.0,23.336658593542527,1.5045876652002179e6
-1,350000,200,20,20,0.06,206.0,36.75915803963069,411446.1081938679
-1,350000,200,20,30,0.09,209.0,47.2715873538548,181135.21636456958
-1,325000,200,20,40,0.12,212.0,55.74379201279061,98905.61372799514
-1,-1,200,40,10,0.06,206.0,37.150892915263405,3.2356007202963037e6
-1,1900000,200,40,20,0.13,213.0,58.36192815533188,835829.1428000943
2000000,-1,200,40,30,0.19,219.0,75.04260937769831,365012.22003908525
1175000,-1,200,40,40,0.25,225.0,88.48919261099516,198613.3477816878
-1,-1,200,80,10,0.13,213.0,59.013985816214806,6.682711387845048e6
-1,-1,200,80,20,0.27,227.0,92.6474219031455,1.684268707991614e6
1075000,-1,200,80,30,0.39,239.0,119.12439593647672,732662.691696522
500000,-1,200,80,40,0.51,251.0,140.46780308318523,397984.31842339726
