ndrops,theta,R,rr,width,height,psi0,substrate,sliplen
0,20,80,40,26,2.4122951685636593,0.325,uniform,1.0
0,20,80,40,26,2.4122951685636593,0.325,uniform,0.5
0,20,120,40,26,2.4122951685636593,0.21666666666666667,uniform,1.0
0,20,120,40,26,2.4122951685636593,0.21666666666666667,uniform,0.5
0,20,120,80,54,4.824590337127319,0.45,uniform,1.0
0,20,120,80,54,4.824590337127319,0.45,uniform,0.5
23,20,180,20,12,1.2061475842818297,0.06666666666666667,uniform,1.0
20,20,180,20,12,1.2061475842818297,0.06666666666666667,uniform,0.5
8,20,180,40,26,2.4122951685636593,0.14444444444444443,uniform,1.0
7,20,180,40,26,2.4122951685636593,0.14444444444444443,uniform,0.5
10,20,200,40,26,2.4122951685636593,0.13,uniform,1.0
8,20,200,40,26,2.4122951685636593,0.13,uniform,0.5
